radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
344.337611,0.449,0.346162,0.27,13.921,0.116,5,14.721,0.036,5,NA,NA,0,14.328,0.003,4,13.678,0.161,4,13.452,0.168,4,13.782,0.21,1,NA,NA,0
344.337757,0.294,0.541141,0.23,14,0.101,5,15.21,0.046,5,NA,NA,0,14.603,0.013,4,13.591,0.141,4,13.271,0.156,4,13.157,0.146,2,NA,NA,0
344.338014,0.517,-0.055452,0.407,16.272,0.181,4,17.126,0.145,4,NA,NA,0,16.723,0.055,4,15.984,0.239,4,15.844,0.273,4,NA,NA,0,NA,NA,0
344.338417,0.167,0.638486,0.262,NA,NA,0,NA,NA,0,NA,NA,0,18.309,0.186,1,16.824,0.159,1,NA,NA,0,NA,NA,0,NA,NA,0
344.344317,0.342,0.273134,0.398,14.195,0.115,5,15.298,0.028,5,NA,NA,0,14.752,0.022,4,13.801,0.159,4,13.539,0.149,4,13.458,0.188,2,NA,NA,0
344.347053,0.356,0.200218,0.233,14.337,0.11,5,14.98,0.046,5,NA,NA,0,14.666,0.01,4,14.158,0.154,4,14.042,0.183,4,NA,NA,0,NA,NA,0
344.347118,0.75,0.226398,0.408,NA,NA,0,NA,NA,0,NA,NA,0,18.039,0.175,2,17.16,0.147,1,16.412,0.199,1,NA,NA,0,NA,NA,0
344.34798,0.727,0.24764,0.579,16.726,0.078,4,17.454,0.201,4,NA,NA,0,17.12,0.1,4,16.397,0.162,4,16.44,0.321,4,NA,NA,0,NA,NA,0
344.349283,0.327,0.783586,0.433,17.43,0.2,1,18.046,0.246,1,NA,NA,0,17.413,0.033,4,16.929,0.18,4,16.115,0.002,2,NA,NA,0,NA,NA,0
344.352543,0.291,0.603288,0.281,NA,NA,0,NA,NA,0,NA,NA,0,18.135,0.193,2,17.042,0.232,2,NA,NA,0,NA,NA,0,NA,NA,0
344.35281,0.227,0.504987,0.471,NA,NA,0,NA,NA,0,NA,NA,0,17.954,0.151,2,17.334,0.104,2,NA,NA,0,NA,NA,0,NA,NA,0
344.353873,0.46,0.427935,0.189,15.359,0.113,5,16.182,0.03,5,NA,NA,0,15.779,0.031,4,15.12,0.158,4,14.843,0.161,4,NA,NA,0,NA,NA,0
344.354659,0.297,0.38242,0.238,15.61,0.135,5,16.446,0.03,5,NA,NA,0,16.032,0.029,4,15.386,0.184,4,15.201,0.183,4,NA,NA,0,NA,NA,0
344.354738,0.318,0.671438,0.228,14.534,0.087,5,15.386,0.065,5,NA,NA,0,14.958,0.013,4,14.249,0.142,4,14.065,0.146,4,NA,NA,0,NA,NA,0
344.35478,0.531,0.301628,0.339,16.705,0.02,2,17.604,0.091,2,NA,NA,0,17.25,0.125,4,16.385,0.177,4,16.311,0.348,2,NA,NA,0,NA,NA,0
344.360902,0.353,-3.5e-05,0.333,14.307,0.141,4,15.591,0.031,4,NA,NA,0,14.957,0.041,4,13.925,0.176,4,13.53,0.166,4,13.191,0.132,1,NA,NA,0
344.361567,0.245,0.501993,0.21,13.112,0.102,5,14.001,0.025,5,NA,NA,0,13.566,0.004,4,12.82,0.136,4,12.627,0.144,4,12.613,0.099,2,NA,NA,0
344.362097,0.234,0.508201,0.229,13.611,0.113,5,14.506,0.04,5,NA,NA,0,14.058,0.011,4,13.331,0.145,4,13.119,0.138,4,13.136,0.121,1,NA,NA,0
344.362161,0.191,0.684241,0.211,13.151,0.091,5,13.949,0.039,5,NA,NA,0,13.553,0.015,4,12.892,0.122,4,12.678,0.142,4,12.656,0.081,2,NA,NA,0
344.364173,0.318,0.805394,0.615,16.944,0.112,3,17.564,0.202,3,NA,NA,0,17.355,0.069,4,16.759,0.138,4,16.082,0.214,1,NA,NA,0,NA,NA,0
344.364308,0.476,0.515811,0.394,17.14,0.041,2,17.805,0.183,2,NA,NA,0,17.495,0.076,4,17.099,0.176,4,NA,NA,0,NA,NA,0,NA,NA,0
344.365248,0.32,-0.142193,0.782,NA,NA,0,NA,NA,0,NA,NA,0,17.69,0.095,2,16.539,0.129,2,16.057,0.151,1,NA,NA,0,NA,NA,0
344.365272,0.275,0.760644,0.274,14.29,0.094,5,15.289,0.038,5,NA,NA,0,14.808,0.018,4,13.928,0.109,4,13.633,0.142,4,13.512,0.177,1,NA,NA,0
344.366565,0.809,0.162307,0.332,16.942,0.193,1,17.984,0.247,1,NA,NA,0,17.717,0.067,3,16.733,0.285,3,16.044,0.355,3,NA,NA,0,NA,NA,0
344.367102,0.613,-0.128779,0.595,14.032,0.01,2,15.121,0.014,2,NA,NA,0,14.577,0.012,2,13.629,0.004,2,13.295,0.006,2,13.002,0.149,2,NA,NA,0
344.369945,0.394,0.68434,0.206,14.538,0.097,5,15.281,0.021,5,NA,NA,0,14.906,0.006,4,14.297,0.123,4,14.105,0.169,4,NA,NA,0,NA,NA,0
344.370396,0.109,0.232402,0.133,12.081,0.108,5,12.753,0.03,5,NA,NA,0,12.407,0.014,4,11.882,0.166,4,11.764,0.162,4,11.81,0.006,2,NA,NA,0
344.371044,0.534,0.310723,0.294,NA,NA,0,NA,NA,0,NA,NA,0,18.044,0.217,3,16.634,0.1,3,15.312,0.19,3,NA,NA,0,NA,NA,0
344.373212,0.439,0.654265,0.326,14.649,0.097,5,15.577,0.037,5,NA,NA,0,15.098,0.006,4,14.341,0.128,4,14.084,0.125,4,NA,NA,0,NA,NA,0
344.374288,0.379,0.683576,0.356,15.544,0.114,5,16.343,0.081,5,NA,NA,0,15.899,0.034,4,15.318,0.143,4,15.113,0.135,4,NA,NA,0,NA,NA,0
344.374691,0.616,0.041859,0.307,15.308,0.11,4,16.023,0.036,4,NA,NA,0,15.669,0.034,4,15.041,0.205,4,14.793,0.231,4,NA,NA,0,NA,NA,0
344.375653,0.467,0.020354,0.2,15.675,0.11,4,16.419,0.07,4,NA,NA,0,16.037,0.018,4,15.474,0.196,4,15.344,0.173,4,NA,NA,0,NA,NA,0
344.379045,0.281,-0.157177,0.41,15.921,0.017,2,16.713,0.065,2,NA,NA,0,16.28,0.045,2,15.678,0.078,2,15.414,0.097,2,NA,NA,0,NA,NA,0
344.379407,0.43,0.517166,0.518,16.693,0.187,5,17.518,0.117,5,NA,NA,0,17.106,0.073,4,16.527,0.166,4,16.379,0.18,3,NA,NA,0,NA,NA,0
344.379652,0.654,-0.218479,0.656,NA,NA,0,NA,NA,0,NA,NA,0,17.591,0.124,2,16.755,0.102,2,16.132,0.184,1,NA,NA,0,NA,NA,0
344.380495,0.447,-0.055807,0.345,16.114,0.121,4,17.103,0.058,4,NA,NA,0,16.628,0.021,4,15.698,0.162,4,15.4,0.309,4,NA,NA,0,NA,NA,0
344.38055,0.653,-0.022587,0.169,NA,NA,0,NA,NA,0,NA,NA,0,17.714,0.205,1,17.236,0.316,1,NA,NA,0,NA,NA,0,NA,NA,0
344.381994,0.62,0.596255,0.406,17.14,0.044,2,17.864,0.169,2,NA,NA,0,17.518,0.095,4,17.006,0.39,4,16.421,0.183,2,NA,NA,0,NA,NA,0
344.382108,0.319,0.23014,0.228,13.822,0.117,5,14.63,0.037,5,NA,NA,0,14.215,0.012,4,13.549,0.158,4,13.328,0.155,4,13.228,0.141,2,NA,NA,0
344.384238,1.031,0.610205,0.377,NA,NA,0,NA,NA,0,NA,NA,0,17.849,0.04,2,17.459,0.072,2,NA,NA,0,NA,NA,0,NA,NA,0
344.387666,0.284,0.802078,0.721,NA,NA,0,NA,NA,0,NA,NA,0,18.088,0.159,1,17.06,0.181,1,NA,NA,0,NA,NA,0,NA,NA,0
344.387753,0.246,0.692031,0.268,13.249,0.09,5,14.074,0.05,5,NA,NA,0,13.659,0.019,4,12.978,0.135,4,12.806,0.141,4,12.868,0.219,2,NA,NA,0
344.387918,0.339,-0.131868,0.427,15.27,0.013,2,15.84,0.048,2,NA,NA,0,15.542,0.001,2,15.115,0.039,2,15.026,0.055,2,NA,NA,0,NA,NA,0
344.390015,0.491,0.179256,0.313,16.429,0.078,5,17.059,0.147,5,NA,NA,0,16.751,0.053,4,16.114,0.238,4,16.094,0.264,4,NA,NA,0,NA,NA,0
344.390861,0.35,0.298394,0.433,15.973,0.151,5,17.537,0.129,5,NA,NA,0,16.74,0.041,4,15.29,0.158,4,14.183,0.13,4,NA,NA,0,NA,NA,0
344.394546,0.119,0.565924,0.073,10.957,0.097,5,11.579,0.048,5,NA,NA,0,11.26,0.006,4,10.826,0.135,6,10.71,0.14,6,10.717,0.003,2,NA,NA,0
344.395242,0.528,0.368416,0.424,16.699,0.13,3,17.528,0.019,3,NA,NA,0,17.27,0.087,4,16.548,0.176,4,16.284,0.151,3,NA,NA,0,NA,NA,0
344.398273,0.713,0.46456,0.403,17.072,0.198,2,17.844,0.006,2,NA,NA,0,17.417,0.139,4,16.952,0.133,4,16.154,0.253,1,NA,NA,0,NA,NA,0
344.398463,0.602,0.123804,0.133,NA,NA,0,NA,NA,0,NA,NA,0,18.029,0.107,2,16.967,0.234,2,16.312,0.179,1,NA,NA,0,NA,NA,0
344.399206,0.299,0.436584,0.523,16.834,0.076,4,17.603,0.169,4,NA,NA,0,17.251,0.102,4,16.445,0.152,4,16.336,0.192,4,NA,NA,0,NA,NA,0
344.40164,0.316,0.620455,0.338,13.568,0.092,5,14.22,0.046,5,NA,NA,0,13.9,0.012,4,13.408,0.126,4,13.26,0.144,4,13.356,0.334,2,NA,NA,0
344.403177,0.249,0.519691,0.151,13.523,0.101,5,14.354,0.038,5,NA,NA,0,13.935,0.013,4,13.23,0.144,4,13.017,0.141,4,13.093,0.112,2,NA,NA,0
344.40348,0.516,-0.087326,0.513,NA,NA,0,NA,NA,0,NA,NA,0,17.84,0.143,3,16.778,0.036,3,16.671,0.241,1,NA,NA,0,NA,NA,0
344.403548,0.115,0.54463,0.11,12.674,0.091,5,13.452,0.043,5,NA,NA,0,13.066,0.011,4,12.439,0.138,4,12.26,0.151,4,12.238,0.022,2,NA,NA,0
344.40366,0.258,0.794557,0.192,14.106,0.078,5,14.841,0.063,5,NA,NA,0,14.467,0.023,4,13.89,0.122,4,13.74,0.141,4,13.292,0.159,1,NA,NA,0
344.404294,0.439,0.712543,0.272,16.945,0.151,1,18.216,0.277,1,NA,NA,0,17.573,0.069,3,16.882,0.223,3,NA,NA,0,NA,NA,0,NA,NA,0
344.405077,0.367,-0.058062,0.176,13,0.122,4,13.929,0.019,4,NA,NA,0,13.473,0.02,4,12.704,0.175,4,12.449,0.167,4,12.309,0.157,2,NA,NA,0
344.405522,0.334,-0.143379,0.362,16.867,0.112,1,17.62,0.163,1,NA,NA,0,17.338,0.023,2,16.716,0.187,2,16.254,0.033,2,NA,NA,0,NA,NA,0
344.407025,0.313,-0.026483,0.227,11.19,0.137,4,12.429,0.018,4,NA,NA,0,11.814,0.014,4,10.804,0.169,5,10.511,0.183,6,10.303,0.05,2,NA,NA,0
344.407098,0.196,-0.095327,0.143,14.083,0.001,2,14.712,0.007,2,NA,NA,0,14.353,0.017,2,13.924,0.003,2,13.756,0.009,2,13.686,0.2,1,NA,NA,0
344.409007,0.364,-0.13638,0.348,NA,NA,0,NA,NA,0,NA,NA,0,17.674,0.235,2,16.682,0.04,2,16.365,0.008,2,NA,NA,0,NA,NA,0
344.409045,0.682,0.341594,0.575,16.619,0.166,5,17.58,0.104,5,NA,NA,0,17.091,0.089,4,16.079,0.148,4,15.576,0.167,4,NA,NA,0,NA,NA,0
344.409435,0.204,0.81665,0.179,13.605,0.089,5,14.268,0.056,5,NA,NA,0,13.937,0.025,4,13.422,0.11,4,13.277,0.139,4,13.073,0.201,2,NA,NA,0
344.410836,0.996,0.132056,0.448,NA,NA,0,NA,NA,0,NA,NA,0,18.051,0.025,3,16.923,0.24,3,NA,NA,0,NA,NA,0,NA,NA,0
344.412248,0.439,-0.142666,0.224,14.769,0.037,2,15.669,0.012,2,NA,NA,0,15.205,0.008,2,14.483,0.01,2,14.246,0.02,2,13.772,0.547,1,NA,NA,0
344.412844,0.365,0.172898,0.306,16.327,0.105,1,17.97,0.234,1,NA,NA,0,17.517,0.09,4,16.094,0.196,4,15.263,0.065,4,NA,NA,0,NA,NA,0
344.415003,0.244,0.447426,0.215,14.968,0.111,5,15.74,0.066,5,NA,NA,0,15.37,0.011,4,14.737,0.148,4,14.543,0.191,4,NA,NA,0,NA,NA,0
344.417294,0.159,0.60455,0.113,NA,NA,0,NA,NA,0,NA,NA,0,18.718,0.276,1,17.643,0.315,1,NA,NA,0,NA,NA,0,NA,NA,0
344.418244,0.237,-0.005058,0.3,NA,NA,0,NA,NA,0,NA,NA,0,17.994,0.149,1,17.277,0.168,1,NA,NA,0,NA,NA,0,NA,NA,0
344.418248,0.338,0.275973,0.212,14.737,0.098,5,15.541,0.028,5,NA,NA,0,15.131,0.011,4,14.505,0.162,4,14.354,0.174,4,NA,NA,0,NA,NA,0
344.420576,0.444,0.32478,0.511,NA,NA,0,NA,NA,0,NA,NA,0,17.936,0.166,4,16.801,0.338,4,16.298,0.093,2,NA,NA,0,NA,NA,0
344.421047,0.675,0.736896,0.194,13.416,0.084,5,14.101,0.074,5,NA,NA,0,13.757,0.039,3,13.221,0.133,3,13.092,0.158,3,13.012,0.019,2,NA,NA,0
344.42179,0.366,0.252228,0.224,15.691,0.12,5,16.25,0.036,5,NA,NA,0,16.007,0.047,4,15.544,0.164,4,15.305,0.269,4,NA,NA,0,NA,NA,0
344.422133,0.388,0.48424,0.434,17.08,0.271,2,17.745,0.022,2,NA,NA,0,17.445,0.099,4,16.936,0.285,4,NA,NA,0,NA,NA,0,NA,NA,0
344.422327,0.575,0.231935,0.106,NA,NA,0,NA,NA,0,NA,NA,0,18.315,0.28,2,17.133,0.154,2,15.6,0.221,2,NA,NA,0,NA,NA,0
344.422716,0.286,0.808787,0.271,15.871,0.078,5,16.58,0.076,5,NA,NA,0,16.229,0.037,4,15.624,0.109,4,15.419,0.183,4,NA,NA,0,NA,NA,0
344.422976,0.18,0.21096,0.19,12.828,0.104,5,13.477,0.032,5,NA,NA,0,13.155,0.009,4,12.642,0.167,4,12.527,0.151,4,12.662,0.139,2,NA,NA,0
344.423475,0.833,0.784156,0.396,NA,NA,0,NA,NA,0,NA,NA,0,18.21,0.004,2,16.778,0.469,2,16.346,0.121,2,NA,NA,0,NA,NA,0
344.424726,0.358,0.735417,0.228,15.431,0.103,2,16.425,0.051,2,NA,NA,0,15.93,0.041,2,15.133,0.004,2,14.827,0.01,2,NA,NA,0,NA,NA,0
344.425191,0.43,0.147511,0.32,16.1,0.15,5,17.103,0.101,5,NA,NA,0,16.662,0.025,4,15.704,0.178,4,15.31,0.195,4,NA,NA,0,NA,NA,0
344.425262,0.597,0.54006,0.597,17.081,0.146,1,17.944,0.211,1,NA,NA,0,17.589,0.086,4,16.875,0.202,4,16.206,0.266,2,NA,NA,0,NA,NA,0
344.426278,0.656,0.221832,0.189,NA,NA,0,NA,NA,0,NA,NA,0,18.728,0.326,1,16.936,0.232,1,NA,NA,0,NA,NA,0,NA,NA,0
344.427542,0.086,0.736436,0.228,15.857,0.125,2,16.574,0.065,2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
344.428112,0.242,0.236958,0.168,NA,NA,0,NA,NA,0,NA,NA,0,17.815,0.006,2,17.103,0.037,2,NA,NA,0,NA,NA,0,NA,NA,0
344.428237,0.438,0.105785,0.268,16.198,0.077,4,17.009,0.217,4,NA,NA,0,16.643,0.01,4,15.99,0.14,4,15.669,0.293,4,NA,NA,0,NA,NA,0
344.428303,0.485,0.779904,0.387,14.664,0.125,5,15.441,0.071,5,NA,NA,0,15.053,0.043,4,14.421,0.156,4,14.186,0.172,4,NA,NA,0,NA,NA,0
344.428364,0.304,-0.069236,0.186,12.32,0.14,4,13.288,0.016,4,NA,NA,0,12.829,0.017,4,12.01,0.177,4,11.754,0.166,4,11.576,0.109,2,NA,NA,0
344.429104,0.092,0.281934,0.266,NA,NA,0,NA,NA,0,NA,NA,0,17.915,0.143,1,16.386,0.123,1,15.648,0.182,1,NA,NA,0,NA,NA,0
344.429139,0.405,-0.040336,0.22,15.614,0.18,4,16.427,0.038,4,NA,NA,0,15.978,0.03,4,15.377,0.209,4,15.118,0.193,4,NA,NA,0,NA,NA,0
344.429494,0.12,0.275021,0.145,12.304,0.108,5,13.484,0.026,5,NA,NA,0,12.876,0.004,4,11.909,0.15,4,11.594,0.15,4,11.461,0.027,2,NA,NA,0
344.429617,0.389,0.022211,0.369,16.35,0.072,4,17.158,0.091,4,NA,NA,0,16.726,0.086,4,15.932,0.279,4,15.694,0.199,4,NA,NA,0,NA,NA,0
344.432186,0.281,0.247871,0.21,14.102,0.118,5,15.237,0.015,5,NA,NA,0,14.709,0.009,4,13.65,0.167,4,13.292,0.157,4,13.149,0.253,2,NA,NA,0
344.433005,0.41,0.208685,0.125,14.741,0.13,5,15.464,0.052,5,NA,NA,0,15.117,0.024,4,14.536,0.153,4,14.384,0.168,4,NA,NA,0,NA,NA,0
344.433746,0.393,0.161185,0.428,15.095,0.153,5,16.25,0.016,5,NA,NA,0,15.674,0.012,4,14.631,0.153,4,14.291,0.158,4,NA,NA,0,NA,NA,0
344.438254,0.189,0.611728,0.571,NA,NA,0,NA,NA,0,NA,NA,0,17.898,0.112,2,17.11,0.309,2,15.842,0.179,1,NA,NA,0,NA,NA,0
344.438838,0.172,0.412894,0.289,NA,NA,0,NA,NA,0,NA,NA,0,17.931,0.018,2,17.227,0.304,2,16.783,0.281,1,NA,NA,0,NA,NA,0
344.439031,0.226,0.045361,0.182,12.514,0.113,4,13.353,0.031,4,NA,NA,0,12.928,0.013,4,12.258,0.166,4,12.06,0.161,4,12.075,0.071,2,NA,NA,0
344.439332,0.206,0.654487,0.33,14.894,0.117,5,15.933,0.042,5,NA,NA,0,15.438,0.007,4,14.511,0.121,4,14.262,0.173,4,NA,NA,0,NA,NA,0
344.439393,0.648,0.387737,0.434,17.139,0.235,5,17.482,0.161,5,NA,NA,0,17.266,0.192,4,16.631,0.186,4,16.438,0.198,3,NA,NA,0,NA,NA,0
344.439562,0.421,0.08049,0.201,15.733,0.152,4,16.725,0.054,4,NA,NA,0,16.22,0.036,4,15.368,0.144,4,15.13,0.173,4,NA,NA,0,NA,NA,0
344.43975,0.672,0.458771,0.327,17.387,0.23,1,17.727,0.176,1,NA,NA,0,17.792,0.002,2,17.117,0.105,2,NA,NA,0,NA,NA,0,NA,NA,0
344.442075,0.511,0.035427,0.181,14.664,0.118,4,15.629,0.029,4,NA,NA,0,15.16,0.027,4,14.39,0.167,4,14.183,0.151,4,NA,NA,0,NA,NA,0
344.442402,0.445,0.109655,0.198,15.577,0.157,4,16.393,0.042,4,NA,NA,0,16.007,0.027,4,15.402,0.141,4,15.194,0.198,4,NA,NA,0,NA,NA,0
344.442777,0.352,0.539712,0.156,15.375,0.093,5,16.069,0.036,5,NA,NA,0,15.751,0.029,4,15.146,0.135,4,14.995,0.152,4,NA,NA,0,NA,NA,0
344.443384,0.226,-0.010574,0.207,11.532,0.122,4,12.344,0.017,4,NA,NA,0,11.952,0.021,4,11.285,0.166,4,11.103,0.17,4,11.019,0.06,2,NA,NA,0
344.443423,0.417,0.488379,0.59,16.745,0.112,2,17.547,0.034,2,NA,NA,0,17.258,0.03,4,16.422,0.132,4,16.359,0.343,3,NA,NA,0,NA,NA,0
344.443733,0.369,-0.170424,0.482,16.664,0.088,2,17.565,0.043,2,NA,NA,0,17.27,0.023,2,16.533,0.02,2,16.411,0.01,2,NA,NA,0,NA,NA,0
344.444393,0.333,0.515799,0.235,15.574,0.104,5,16.148,0.075,5,NA,NA,0,15.851,0.016,4,15.403,0.133,4,15.341,0.146,4,NA,NA,0,NA,NA,0
344.44553,0.639,-0.020998,0.321,14.717,0.113,4,15.81,0.043,4,NA,NA,0,15.281,0.033,4,14.383,0.142,4,14.09,0.162,4,NA,NA,0,NA,NA,0
344.445949,0.271,0.196208,0.253,14.582,0.117,5,15.363,0.028,5,NA,NA,0,14.956,0.01,4,14.299,0.175,4,14.063,0.152,4,NA,NA,0,NA,NA,0
344.446456,0.212,0.519802,0.306,15.68,0.107,5,17.002,0.145,5,NA,NA,0,16.382,0.024,4,15.196,0.132,4,14.733,0.131,4,NA,NA,0,NA,NA,0
344.44664,0.373,0.313979,0.535,17.655,0.306,1,18.473,0.352,1,NA,NA,0,17.97,0.118,3,16.637,0.2,3,15.705,0.195,3,NA,NA,0,NA,NA,0
344.447015,0.294,0.20364,0.177,14.663,0.129,5,15.345,0.029,5,NA,NA,0,14.993,0.018,4,14.448,0.161,4,14.331,0.103,4,NA,NA,0,NA,NA,0
