radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
344.448231,0.297,0.168563,0.211,14.34,0.122,5,15.455,0.037,5,NA,NA,0,14.928,0.017,4,13.863,0.144,4,13.491,0.16,4,NA,NA,0,NA,NA,0
344.448252,0.413,0.581614,0.218,15.999,0.103,5,16.779,0.108,5,NA,NA,0,16.401,0.042,4,15.744,0.209,4,15.507,0.09,4,NA,NA,0,NA,NA,0
344.449097,0.206,0.347235,0.196,14.601,0.103,5,15.411,0.023,5,NA,NA,0,15.022,0.005,4,14.361,0.176,4,14.175,0.185,4,NA,NA,0,NA,NA,0
344.449476,0.812,0.174601,0.459,NA,NA,0,NA,NA,0,NA,NA,0,18.035,0.052,2,16.869,0.157,2,16.2,0.166,1,NA,NA,0,NA,NA,0
344.45018,0.496,-0.13412,0.085,15.124,0.026,2,15.766,0.01,2,NA,NA,0,15.441,0.007,2,14.933,0.016,2,14.729,0.014,2,NA,NA,0,NA,NA,0
344.451242,0.601,-0.000274,0.402,16.665,0.091,4,17.492,0.145,4,NA,NA,0,16.99,0.085,4,16.365,0.097,4,16.175,0.109,3,NA,NA,0,NA,NA,0
344.452088,0.656,0.584767,0.403,14.232,0.092,5,14.889,0.044,5,NA,NA,0,14.547,0.006,4,14.049,0.128,4,13.928,0.165,4,NA,NA,0,NA,NA,0
344.45235,0.44,0.362013,0.257,16.206,0.132,5,17.232,0.228,5,NA,NA,0,16.758,0.037,4,15.837,0.173,4,15.391,0.098,4,NA,NA,0,NA,NA,0
344.453958,0.63,0.219138,0.423,16.866,0.089,3,17.734,0.25,3,NA,NA,0,17.405,0.098,4,16.757,0.185,4,NA,NA,0,NA,NA,0,NA,NA,0
344.45634,0.213,0.749134,0.227,15.352,0.088,5,16.232,0.101,5,NA,NA,0,15.769,0.03,4,15.096,0.131,4,14.958,0.121,4,NA,NA,0,NA,NA,0
344.459266,0.478,0.494687,0.378,16.267,0.206,2,17.946,0.208,2,NA,NA,0,17.382,0.134,4,15.774,0.157,4,15.13,0.205,4,NA,NA,0,NA,NA,0
344.460386,0.328,0.46634,0.251,14.785,0.108,5,15.251,0.051,5,NA,NA,0,15.03,0.027,4,14.683,0.153,4,14.608,0.166,4,NA,NA,0,NA,NA,0
344.461008,0.621,0.221277,0.339,15.802,0.114,5,16.906,0.048,5,NA,NA,0,16.419,0.042,4,15.36,0.125,4,14.989,0.124,4,NA,NA,0,NA,NA,0
344.463096,0.354,0.597435,0.252,15.151,0.092,5,15.871,0.062,5,NA,NA,0,15.483,0.02,4,14.87,0.133,4,14.76,0.151,4,NA,NA,0,NA,NA,0
344.4631,0.529,0.754097,0.344,15.953,0.103,5,17.229,0.074,5,NA,NA,0,16.643,0.067,4,15.306,0.114,4,14.81,0.101,4,NA,NA,0,NA,NA,0
344.46441,0.494,0.281181,0.354,17.121,0.114,4,17.538,0.282,4,NA,NA,0,17.477,0.202,4,16.878,0.277,4,NA,NA,0,NA,NA,0,NA,NA,0
344.464629,0.564,0.461352,0.483,16.476,0.173,4,17.457,0.07,4,NA,NA,0,16.985,0.025,4,16.391,0.13,4,16.116,0.193,4,NA,NA,0,NA,NA,0
344.465354,0.399,0.527133,0.457,16.286,0.185,5,17.162,0.067,5,NA,NA,0,16.75,0.065,4,15.913,0.133,4,15.697,0.103,4,NA,NA,0,NA,NA,0
344.466732,0.289,0.810964,0.255,15.408,0.048,5,16.554,0.082,5,NA,NA,0,16.001,0.061,4,14.963,0.124,4,14.567,0.086,4,NA,NA,0,NA,NA,0
344.467104,0.266,0.566443,0.638,NA,NA,0,NA,NA,0,NA,NA,0,18.425,0.021,2,17.016,0.222,2,NA,NA,0,NA,NA,0,NA,NA,0
344.46804,0.113,0.676145,0.171,12.57,0.093,5,13.262,0.044,5,NA,NA,0,12.914,0.014,4,12.371,0.119,4,12.246,0.136,4,12.331,0.039,2,NA,NA,0
344.470936,0.211,0.32266,0.237,15.606,0.043,5,16.398,0.081,5,NA,NA,0,16.038,0.026,4,15.435,0.159,4,15.218,0.186,4,NA,NA,0,NA,NA,0
344.471108,0.211,-0.157714,0.244,NA,NA,0,NA,NA,0,NA,NA,0,17.61,0.026,2,16.359,0.012,2,15.813,0.107,2,NA,NA,0,NA,NA,0
344.472522,0.531,0.279831,0.262,16.289,0.083,3,17.743,0.119,3,NA,NA,0,17.018,0.083,4,15.644,0.134,4,15.076,0.187,4,NA,NA,0,NA,NA,0
344.474707,0.477,0.185496,0.316,14.223,0.11,5,14.981,0.048,5,NA,NA,0,14.598,0.012,4,13.989,0.165,4,13.802,0.184,4,13.757,0.218,1,NA,NA,0
344.475537,0.167,-0.220729,0.492,NA,NA,0,NA,NA,0,NA,NA,0,18.23,0.105,2,16.905,0.087,2,16.146,0.058,2,NA,NA,0,NA,NA,0
344.477721,0.139,0.685618,0.07,11.966,0.092,5,12.609,0.046,5,NA,NA,0,12.288,0.016,4,11.772,0.115,4,11.632,0.133,4,11.673,0.064,2,NA,NA,0
344.477932,0.392,0.610637,0.228,16.629,0.155,3,17.583,0.26,3,NA,NA,0,17.117,0.094,4,16.5,0.174,4,15.995,0.126,2,NA,NA,0,NA,NA,0
344.477974,0.439,0.61947,0.372,NA,NA,0,NA,NA,0,NA,NA,0,17.787,0.075,3,16.953,0.129,3,16.354,0.242,1,NA,NA,0,NA,NA,0
344.47939,0.167,0.444538,0.097,12.605,0.107,5,13.345,0.046,5,NA,NA,0,12.963,0.011,4,12.382,0.146,4,12.23,0.162,4,12.213,0.005,2,NA,NA,0
344.479669,0.291,0.817879,0.221,15.962,0.095,5,16.735,0.144,5,NA,NA,0,16.332,0.04,4,15.692,0.135,4,15.561,0.081,4,NA,NA,0,NA,NA,0
344.481,0.45,0.337058,1.005,NA,NA,0,NA,NA,0,NA,NA,0,17.699,0.113,1,16.837,0.166,1,15.772,0.185,1,NA,NA,0,NA,NA,0
344.481019,0.308,0.39704,0.176,15.517,0.116,5,17.015,0.093,5,NA,NA,0,16.284,0.021,4,14.822,0.137,4,14.008,0.135,4,NA,NA,0,NA,NA,0
344.481224,0.556,-0.163624,0.25,NA,NA,0,NA,NA,0,NA,NA,0,18.07,0.165,1,17.555,0.219,1,NA,NA,0,NA,NA,0,NA,NA,0
344.482243,0.52,0.083115,0.395,NA,NA,0,NA,NA,0,NA,NA,0,17.937,0.127,3,16.764,0.183,3,16.208,0.29,1,NA,NA,0,NA,NA,0
344.483489,0.272,0.749466,0.18,15.054,0.08,5,15.735,0.058,5,NA,NA,0,15.424,0.028,4,14.865,0.128,4,14.814,0.155,4,NA,NA,0,NA,NA,0
344.484791,0.444,0.841741,0.289,16.603,0.232,3,17.271,0.153,3,NA,NA,0,16.941,0.033,4,16.298,0.142,4,16.012,0.385,4,NA,NA,0,NA,NA,0
344.4868,0.148,0.691671,0.052,10.553,0.077,7,11.573,0.045,5,NA,NA,0,11.042,0.034,5,10.21,0.099,6,10.002,0.018,3,9.834,0.018,2,NA,NA,0
344.48684,0.415,0.455792,0.33,15.055,0.104,5,16.375,0.061,5,NA,NA,0,15.768,0.03,4,14.455,0.119,4,13.921,0.144,4,13.439,0.173,1,NA,NA,0
344.487023,0.5,0.02323,0.289,16.431,0.112,4,17.423,0.083,4,NA,NA,0,17.038,0.081,4,16.061,0.27,4,15.908,0.198,4,NA,NA,0,NA,NA,0
344.488688,0.218,0.606943,0.352,15.834,0.106,5,16.562,0.047,5,NA,NA,0,16.242,0.042,4,15.639,0.127,4,15.577,0.039,4,NA,NA,0,NA,NA,0
344.488861,0.425,0.790387,0.344,NA,NA,0,NA,NA,0,NA,NA,0,17.526,0.077,4,16.796,0.117,4,16.182,0.235,1,NA,NA,0,NA,NA,0
344.490426,0.32,0.415583,0.314,NA,NA,0,NA,NA,0,NA,NA,0,18.272,0.203,1,17.056,0.207,1,NA,NA,0,NA,NA,0,NA,NA,0
344.49101,0.222,0.555351,0.662,NA,NA,0,NA,NA,0,NA,NA,0,18.387,0.198,1,16.82,0.155,1,NA,NA,0,NA,NA,0,NA,NA,0
344.491875,0.381,0.793525,0.229,15.267,0.069,5,16.039,0.058,5,NA,NA,0,15.648,0.021,4,15.013,0.111,4,14.917,0.144,4,NA,NA,0,NA,NA,0
344.491928,0.37,0.781802,0.315,14.388,0.098,5,15.323,0.049,5,NA,NA,0,14.841,0.028,4,14.055,0.101,4,13.833,0.118,4,NA,NA,0,NA,NA,0
344.493325,0.234,0.152674,0.231,15.442,0.12,5,16.186,0.072,5,NA,NA,0,15.836,0.034,4,15.241,0.164,4,15.031,0.179,4,NA,NA,0,NA,NA,0
344.493351,0.347,0.378627,0.214,16.56,0.125,1,17.873,0.222,1,NA,NA,0,17.487,0.096,4,15.87,0.148,4,14.804,0.124,4,NA,NA,0,NA,NA,0
344.493413,0.611,-0.059216,0.605,16.529,0.156,1,18.488,0.448,1,NA,NA,0,17.764,0.103,4,16.607,0.177,4,16.172,0.513,4,NA,NA,0,NA,NA,0
344.493554,0.757,0.059354,0.535,NA,NA,0,NA,NA,0,NA,NA,0,17.916,0.159,3,16.799,0.22,3,16,0.137,1,NA,NA,0,NA,NA,0
344.494468,0.458,0.070909,0.25,17.24,0.254,1,18.291,0.331,1,NA,NA,0,17.947,0.1,3,16.969,0.202,3,16.135,0.197,1,NA,NA,0,NA,NA,0
344.494779,0.254,0.739508,0.518,15.602,0.136,5,16.551,0.123,5,NA,NA,0,15.996,0.069,4,15.32,0.157,4,15.199,0.094,4,NA,NA,0,NA,NA,0
344.494835,0.359,-0.217649,0.251,16.001,0.025,2,17.051,0.218,2,NA,NA,0,16.667,0.064,2,15.632,0.015,2,15.312,0.009,2,NA,NA,0,NA,NA,0
344.495906,0.146,0.396135,0.072,10.229,0.102,7,10.92,0.036,7,NA,NA,0,10.561,0.033,5,10.12,0.024,4,9.979,0.006,2,9.843,0.019,2,NA,NA,0
344.49653,0.295,0.063968,0.347,16.425,0.147,2,17.947,0.371,2,NA,NA,0,17.224,0.111,4,15.995,0.153,4,15.415,0.248,4,NA,NA,0,NA,NA,0
344.497288,0.715,0.295284,0.635,NA,NA,0,NA,NA,0,NA,NA,0,17.669,0.216,3,16.626,0.103,3,15.763,0.178,1,NA,NA,0,NA,NA,0
344.497434,0.387,0.116943,0.388,16.918,0.184,2,17.799,0.092,2,NA,NA,0,17.502,0.139,4,16.551,0.109,4,16.204,0.156,3,NA,NA,0,NA,NA,0
344.497948,0.057,0.104378,0.697,NA,NA,0,NA,NA,0,NA,NA,0,18.476,0.26,1,17.104,0.252,1,NA,NA,0,NA,NA,0,NA,NA,0
344.499424,0.18,-0.155905,0.187,15.581,0.043,2,16.295,0.031,2,NA,NA,0,15.937,0.042,2,15.412,0.018,2,15.236,0.065,2,NA,NA,0,NA,NA,0
344.499719,0.191,-0.243441,0.153,15.274,0.004,2,15.938,0.016,2,NA,NA,0,15.606,0.018,2,15.043,0.008,2,14.823,0.023,2,NA,NA,0,NA,NA,0
344.503028,0.698,0.675838,0.699,NA,NA,0,NA,NA,0,NA,NA,0,17.835,0.102,4,17.074,0.28,4,NA,NA,0,NA,NA,0,NA,NA,0
344.504361,0.306,0.572934,0.561,17.224,0.204,1,17.657,0.17,1,NA,NA,0,17.796,0.162,3,17.064,0.07,3,16.279,0.191,1,NA,NA,0,NA,NA,0
344.504476,0.552,0.290323,0.461,NA,NA,0,NA,NA,0,NA,NA,0,18.076,0.151,4,16.745,0.18,4,16.187,0.072,2,NA,NA,0,NA,NA,0
344.506204,0.544,-0.031068,0.405,NA,NA,0,NA,NA,0,NA,NA,0,18.22,0.053,3,16.588,0.059,3,15.433,0.213,3,NA,NA,0,NA,NA,0
344.506242,0.478,0.356932,0.077,NA,NA,0,NA,NA,0,NA,NA,0,17.691,0.11,1,16.956,0.18,1,NA,NA,0,NA,NA,0,NA,NA,0
344.507383,0.524,0.111991,0.312,14.847,0.111,4,15.42,0.033,4,NA,NA,0,15.173,0.026,4,14.731,0.148,4,14.645,0.161,4,NA,NA,0,NA,NA,0
344.508125,0.648,-0.07466,0.406,16.455,0.122,4,17.367,0.082,4,NA,NA,0,16.994,0.048,4,16.031,0.214,4,15.665,0.191,4,NA,NA,0,NA,NA,0
344.509194,0.521,-0.163928,0.061,NA,NA,0,NA,NA,0,NA,NA,0,18.059,0.174,1,17.304,0.175,1,NA,NA,0,NA,NA,0,NA,NA,0
344.509698,0.086,-0.133458,0.263,NA,NA,0,NA,NA,0,NA,NA,0,18.301,0.204,1,16.767,0.111,1,16.127,0.158,1,NA,NA,0,NA,NA,0
344.510739,0.662,0.157845,0.441,NA,NA,0,NA,NA,0,NA,NA,0,18.078,0.143,3,17.023,0.312,3,NA,NA,0,NA,NA,0,NA,NA,0
344.511011,0.635,0.641563,0.355,16.325,0.033,5,17.26,0.169,5,NA,NA,0,16.789,0.035,4,16.129,0.139,4,15.928,0.144,4,NA,NA,0,NA,NA,0
344.512198,0.323,0.57468,0.166,15.801,0.14,5,16.595,0.057,5,NA,NA,0,16.264,0.066,4,15.463,0.13,4,15.257,0.073,4,NA,NA,0,NA,NA,0
344.51228,0.103,0.481305,0.176,12.523,0.105,5,13.112,0.046,5,NA,NA,0,12.818,0.011,4,12.358,0.145,4,12.266,0.141,4,12.302,0.003,2,NA,NA,0
344.513231,0.448,0.336748,0.58,17.141,0.245,4,17.614,0.155,4,NA,NA,0,17.365,0.098,4,16.695,0.076,4,NA,NA,0,NA,NA,0,NA,NA,0
344.513671,0.64,-0.153378,0.257,16.455,0.07,2,17.182,0.018,2,NA,NA,0,16.848,0.038,2,16.252,0.008,2,15.969,0.071,2,NA,NA,0,NA,NA,0
344.515395,0.841,-0.061639,0.409,16.385,0.103,3,17.485,0.276,3,NA,NA,0,17.066,0.137,4,16.21,0.211,4,16.105,0.247,4,NA,NA,0,NA,NA,0
344.516407,0.43,0.356353,0.469,16.815,0.073,2,17.798,0.287,2,NA,NA,0,17.439,0.126,4,16.476,0.223,4,16.213,0.188,4,NA,NA,0,NA,NA,0
344.516987,0.019,0.53941,0.121,NA,NA,0,NA,NA,0,NA,NA,0,18.195,0.177,1,16.967,0.171,1,NA,NA,0,NA,NA,0,NA,NA,0
344.520288,0.407,0.102469,0.603,NA,NA,0,NA,NA,0,NA,NA,0,18.159,0.177,1,16.862,0.121,1,16.254,0.175,1,NA,NA,0,NA,NA,0
344.521448,0.336,0.73788,0.29,NA,NA,0,NA,NA,0,NA,NA,0,17.477,0.045,4,16.041,0.105,4,14.781,0.11,4,NA,NA,0,NA,NA,0
344.521828,0.524,0.078386,0.255,16.772,0.12,3,17.796,0.192,3,NA,NA,0,17.279,0.079,4,16.399,0.189,4,16.285,0.125,2,NA,NA,0,NA,NA,0
344.522759,0.476,0.157192,0.321,16.895,0.282,5,16.8,0.049,5,NA,NA,0,16.751,0.048,4,16.982,0.167,4,NA,NA,0,NA,NA,0,NA,NA,0
344.522781,0.529,0.394347,0.443,NA,NA,0,NA,NA,0,NA,NA,0,18.089,0.254,4,16.806,0.255,4,15.996,0.087,2,NA,NA,0,NA,NA,0
344.525244,0.356,0.417144,0.753,17.828,0.339,1,17.985,0.224,1,NA,NA,0,17.865,0.114,2,17.092,0.001,2,NA,NA,0,NA,NA,0,NA,NA,0
344.526375,0.225,0.253468,0.172,14.234,0.112,5,15.042,0.041,5,NA,NA,0,14.624,0.007,4,13.954,0.154,4,13.803,0.137,4,NA,NA,0,NA,NA,0
344.526548,0.065,-0.188031,0.12,14.891,0.01,2,15.45,0.026,2,NA,NA,0,15.104,0.013,2,14.685,0.022,2,14.562,0.034,2,NA,NA,0,NA,NA,0
344.528039,0.344,-0.134727,0.284,16.603,0.066,2,17.23,0.046,2,NA,NA,0,16.85,0.017,2,16.438,0.037,2,16.451,0.035,2,NA,NA,0,NA,NA,0
344.52876,0.547,0.272028,0.227,14.16,0.118,5,15.065,0.042,5,NA,NA,0,14.6,0.01,4,13.831,0.146,4,13.627,0.153,4,13.404,0.299,2,NA,NA,0
344.529559,0.498,0.123461,0.286,NA,NA,0,NA,NA,0,NA,NA,0,18.103,0.037,2,16.665,0.211,2,15.688,0.194,1,NA,NA,0,NA,NA,0
344.529804,0.748,-0.215478,0.788,NA,NA,0,NA,NA,0,NA,NA,0,18.094,0.169,1,17.415,0.197,1,NA,NA,0,NA,NA,0,NA,NA,0
344.530094,0.324,-0.200817,0.302,16.802,0.116,2,17.842,0.249,2,NA,NA,0,17.266,0.06,2,16.277,0.032,2,15.97,0.119,2,NA,NA,0,NA,NA,0
344.530221,0.263,-0.166109,0.142,NA,NA,0,NA,NA,0,NA,NA,0,17.754,0.282,2,17.298,0.172,2,NA,NA,0,NA,NA,0,NA,NA,0
344.532997,0.252,0.09371,0.213,15.142,0.107,4,15.911,0.056,4,NA,NA,0,15.553,0.026,4,14.884,0.135,4,14.705,0.214,4,NA,NA,0,NA,NA,0
344.535048,0.587,0.134488,0.346,16.853,0.193,3,17.61,0.279,3,NA,NA,0,17.533,0.084,4,16.667,0.177,4,16.163,0.328,4,NA,NA,0,NA,NA,0
344.53553,0.392,-0.052819,0.28,16.37,0.338,4,17.295,0.307,4,NA,NA,0,17.045,0.425,4,16.203,0.323,4,16.155,0.324,3,NA,NA,0,NA,NA,0
344.536766,0.182,0.022264,0.172,12.161,0.118,4,13.071,0.024,4,NA,NA,0,12.633,0.026,4,11.868,0.158,4,11.66,0.147,4,11.593,0.107,2,NA,NA,0
344.541637,0.106,0.569032,0.102,12.423,0.093,5,13.059,0.042,5,NA,NA,0,12.737,0.017,4,12.234,0.129,4,12.114,0.135,4,12.098,0.003,2,NA,NA,0
344.54265,0.236,0.616694,0.199,15.341,0.092,5,16.138,0.063,5,NA,NA,0,15.733,0.039,4,15.167,0.134,4,15.09,0.149,4,NA,NA,0,NA,NA,0
344.54327,0.056,-0.151726,0.135,NA,NA,0,NA,NA,0,NA,NA,0,18.09,0.17,1,16.829,0.12,1,15.542,0.099,1,NA,NA,0,NA,NA,0
344.544376,0.31,0.784955,0.235,NA,NA,0,NA,NA,0,NA,NA,0,17.927,0.077,2,17.294,0.222,2,NA,NA,0,NA,NA,0,NA,NA,0
344.545683,0.4,-0.191024,0.218,15.669,0.003,2,16.704,0.028,2,NA,NA,0,16.13,0.005,2,15.323,0.017,2,14.826,0.026,2,NA,NA,0,NA,NA,0
344.546211,0.423,-0.058691,0.341,15.997,0.103,4,16.845,0.113,4,NA,NA,0,16.393,0.044,4,15.726,0.168,4,15.539,0.143,4,NA,NA,0,NA,NA,0
344.547947,0.21,0.751315,0.162,14.857,0.084,5,16.15,0.023,5,NA,NA,0,15.559,0.054,4,14.272,0.105,4,13.79,0.134,4,13.588,0.2,1,NA,NA,0
344.548089,0.284,-0.186585,0.293,15.008,0.002,2,15.734,0.015,2,NA,NA,0,15.346,0.019,2,14.814,0.01,2,14.658,0.056,2,NA,NA,0,NA,NA,0
344.548682,0.681,0.794153,0.31,17.237,0.186,1,17.662,0.164,1,NA,NA,0,17.953,0.125,3,17.352,0.206,3,NA,NA,0,NA,NA,0,NA,NA,0
344.54869,0.644,0.708416,0.566,16.801,0.105,3,17.511,0.078,3,NA,NA,0,17.278,0.082,4,16.527,0.15,4,16.19,0.171,3,NA,NA,0,NA,NA,0
344.549522,0.262,0.404975,0.225,15.257,0.093,5,16.076,0.04,5,NA,NA,0,15.643,0.018,4,15.013,0.131,4,14.77,0.137,4,NA,NA,0,NA,NA,0
344.549997,0.226,-0.143609,0.358,15.2,0.015,2,16.271,0.007,2,NA,NA,0,15.677,0.029,2,14.822,0.016,2,14.484,0.037,2,NA,NA,0,NA,NA,0
344.550576,0.628,0.648955,0.62,16.638,0.22,3,17.694,0.145,3,NA,NA,0,17.331,0.06,4,16.217,0.069,3,15.997,0.138,4,NA,NA,0,NA,NA,0
344.551549,0.441,0.10816,0.396,14.021,0.12,4,14.957,0.07,4,NA,NA,0,14.497,0.017,4,13.72,0.15,4,13.452,0.168,4,13.086,0.052,2,NA,NA,0
344.55329,0.602,0.313281,0.409,16.851,0.157,1,17.599,0.159,1,NA,NA,0,17.535,0.059,4,16.498,0.141,4,16.129,0.297,4,NA,NA,0,NA,NA,0
344.55464,0.26,0.180382,0.222,15.193,0.119,5,16.281,0.048,5,NA,NA,0,15.797,0.015,4,14.725,0.137,4,14.314,0.166,4,NA,NA,0,NA,NA,0
344.557462,0.68,0.234364,0.327,14.08,0.104,5,14.97,0.048,5,NA,NA,0,14.522,0.028,4,13.763,0.149,4,13.531,0.153,4,13.524,0.178,1,NA,NA,0
344.557632,0.396,-0.006624,0.294,15.351,0.092,4,16.65,0.058,4,NA,NA,0,16.006,0.039,4,14.827,0.161,4,14.535,0.105,4,NA,NA,0,NA,NA,0
344.558867,0.501,0.318716,0.253,NA,NA,0,NA,NA,0,NA,NA,0,17.766,0.129,4,16.862,0.079,4,16.343,0.052,2,NA,NA,0,NA,NA,0
344.561479,0.657,0.341868,0.411,17.376,0.245,2,17.959,0.142,2,NA,NA,0,17.625,0.11,4,17.141,0.309,4,NA,NA,0,NA,NA,0,NA,NA,0
344.561494,0.454,0.555956,0.296,15.389,0.057,5,16.041,0.042,5,NA,NA,0,15.738,0.007,3,15.191,0.164,3,15.033,0.178,3,NA,NA,0,NA,NA,0
344.561864,0.16,0.642878,0.119,12.831,0.096,5,13.465,0.053,5,NA,NA,0,13.14,0.018,4,12.636,0.12,4,12.532,0.14,4,12.522,0.11,2,NA,NA,0
344.562131,0.608,-0.135212,0.212,13.384,0.003,2,14.116,0,2,NA,NA,0,13.722,0.002,2,13.168,0.012,2,12.985,0.003,2,12.933,0.063,2,NA,NA,0
344.562587,0.292,0.841096,0.147,13.791,0.068,5,14.656,0.058,5,NA,NA,0,14.21,0.031,4,13.52,0.098,4,13.328,0.099,4,13.318,0.15,1,NA,NA,0
344.56311,0.303,0.159845,0.268,14.223,0.114,5,15.012,0.045,5,NA,NA,0,14.629,0.018,4,13.962,0.155,4,13.717,0.144,4,13.772,0.215,1,NA,NA,0
344.564389,0.264,0.434165,0.225,14.83,0.103,5,15.577,0.069,5,NA,NA,0,15.183,0.013,4,14.587,0.111,4,14.395,0.163,4,NA,NA,0,NA,NA,0
344.566058,0.375,0.081341,0.242,14.078,0.121,4,14.975,0.034,4,NA,NA,0,14.519,0.014,4,13.763,0.145,4,13.522,0.134,4,13.54,0.177,1,NA,NA,0
344.566302,0.218,-0.102102,0.132,14.442,0.023,2,15.3,0.019,2,NA,NA,0,14.856,0.01,2,14.17,0.003,2,13.904,0.01,2,NA,NA,0,NA,NA,0
344.566687,0.322,0.38156,0.243,15.894,0.118,5,16.716,0.098,5,NA,NA,0,16.357,0.015,4,15.744,0.155,4,15.557,0.143,4,NA,NA,0,NA,NA,0
344.567594,0.269,-0.095307,0.202,11.959,0.052,3,12.604,0.027,3,NA,NA,0,12.257,0.009,2,11.802,0.01,2,11.685,0,2,11.504,0.05,2,NA,NA,0
344.567615,0.209,-0.214385,0.135,15.954,0.021,2,16.991,0.027,2,NA,NA,0,16.586,0.013,2,15.409,0.023,2,14.915,0.017,2,NA,NA,0,NA,NA,0
344.567629,0.208,0.187544,0.286,16.107,0.126,3,17.557,0.138,3,NA,NA,0,16.888,0.044,4,15.424,0.152,4,14.679,0.183,4,NA,NA,0,NA,NA,0
344.568132,0.157,0.662962,0.084,9.526,0.012,2,10.714,0.047,7,NA,NA,0,10.141,0.062,5,9.155,0.042,2,8.839,0.023,2,8.636,0.035,2,NA,NA,0
344.568719,0.39,0.733284,0.377,NA,NA,0,NA,NA,0,NA,NA,0,18.092,0.152,2,16.82,0.042,2,NA,NA,0,NA,NA,0,NA,NA,0
344.57077,0.159,0.383647,0.344,NA,NA,0,NA,NA,0,NA,NA,0,18.034,0.122,2,17.306,0.129,2,NA,NA,0,NA,NA,0,NA,NA,0
344.571189,0.494,0.791465,0.467,NA,NA,0,NA,NA,0,NA,NA,0,18.416,0.202,1,16.614,0.114,1,15.858,0.176,1,NA,NA,0,NA,NA,0
344.571318,0.478,0.191666,0.285,16.37,0.138,5,17.131,0.081,5,NA,NA,0,16.797,0.045,4,16.127,0.142,4,15.839,0.191,4,NA,NA,0,NA,NA,0
344.571719,0.298,0.040158,0.165,14.521,0.118,4,15.346,0.033,4,NA,NA,0,14.938,0.016,4,14.251,0.136,4,14.063,0.136,4,NA,NA,0,NA,NA,0
344.573948,0.311,0.461636,0.32,16.169,0.084,5,17.067,0.122,5,NA,NA,0,16.665,0.04,4,15.843,0.137,4,15.587,0.092,4,NA,NA,0,NA,NA,0
344.575062,0.401,0.728509,0.342,NA,NA,0,NA,NA,0,NA,NA,0,17.634,0.071,4,16.669,0.192,4,16.199,0.265,4,NA,NA,0,NA,NA,0
344.577967,0.358,0.57794,0.349,16.392,0.111,5,17.088,0.072,5,NA,NA,0,16.84,0.031,4,16.244,0.094,4,15.843,0.154,4,NA,NA,0,NA,NA,0
344.578775,0.338,0.688561,0.358,13.849,0.092,5,14.813,0.043,5,NA,NA,0,14.326,0.023,4,13.506,0.104,4,13.22,0.14,4,13.188,0.034,2,NA,NA,0
344.579128,0.534,0.378615,0.425,17.067,0.037,3,17.753,0.211,3,NA,NA,0,17.55,0.068,4,16.748,0.201,4,15.913,0.058,2,NA,NA,0,NA,NA,0
344.579758,0.277,0.705365,0.229,15.164,0.09,5,16.366,0.084,5,NA,NA,0,15.791,0.039,4,14.618,0.109,4,14.175,0.106,4,NA,NA,0,NA,NA,0
344.583102,0.093,0.552973,0.091,12.62,0.088,5,13.683,0.038,5,NA,NA,0,13.142,0.016,4,12.241,0.118,4,11.988,0.145,4,11.928,0.023,2,NA,NA,0
344.585054,0.182,0.834287,0.232,13.194,0.088,5,14.199,0.053,5,NA,NA,0,13.691,0.031,4,12.821,0.103,4,12.578,0.122,4,12.501,0.008,2,NA,NA,0
344.585941,0.203,0.319593,0.135,14.126,0.11,5,15.132,0.049,5,NA,NA,0,14.64,0.009,4,13.732,0.133,4,13.473,0.156,4,13.655,0.197,1,NA,NA,0
344.586688,0.315,0.362252,0.183,15.533,0.044,4,16.186,0.04,4,NA,NA,0,15.817,0.022,3,15.301,0.074,3,15.261,0.083,3,NA,NA,0,NA,NA,0
344.58769,0.63,0.493601,0.397,16.879,0.244,2,17.69,0.001,2,NA,NA,0,17.609,0.07,4,16.268,0.177,4,15.868,0.121,4,NA,NA,0,NA,NA,0
344.588282,0.594,0.349144,0.337,NA,NA,0,NA,NA,0,NA,NA,0,17.825,0.143,4,16.521,0.247,4,15.826,0.103,4,NA,NA,0,NA,NA,0
344.589361,0.138,-0.198938,0.093,13.136,0.007,2,14.027,0.005,2,NA,NA,0,13.546,0.004,2,12.83,0.002,2,12.587,0.024,2,12.409,0.067,1,NA,NA,0
344.589595,0.406,0.158359,0.331,NA,NA,0,NA,NA,0,NA,NA,0,18.068,0.077,3,16.428,0.203,3,15.614,0.316,3,NA,NA,0,NA,NA,0
344.591915,0.469,0.379263,0.252,16.235,0.131,5,17.047,0.126,5,NA,NA,0,16.549,0.036,4,16.156,0.224,4,15.874,0.193,4,NA,NA,0,NA,NA,0
344.593102,0.594,0.728896,0.428,17.549,0.238,1,17.917,0.201,1,NA,NA,0,17.892,0.032,2,17.215,0.135,2,NA,NA,0,NA,NA,0,NA,NA,0
344.594104,0.401,0.777416,0.302,16.085,0.105,5,16.902,0.094,5,NA,NA,0,16.499,0.054,4,15.802,0.122,4,15.745,0.185,4,NA,NA,0,NA,NA,0
